team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds
NYG,0.7,NA,2.3,NA,0.5,0.9,0.1,24.4,NA,NA,NA,346.6,NA,9.01,NA,FleaFlicker,0517,DST,2348,New York Giants,NA,14,KCSun 8:20 PM,D/ST22,0,14%,NA
NYJ,0.7,NA,2.4,NA,0.5,0.7,0.1,25.9,NA,NA,NA,359.3,NA,8.97,NA,FleaFlicker,0505,DST,2349,New York Jets,NA,9,@TBSun 1:00 PM,D/ST18,0,24%,NA
NE,0.7,NA,2.6,NA,0.5,0.5,0.1,22.4,NA,NA,NA,334,NA,8.92,NA,FleaFlicker,0504,DST,2346,New England Patriots,NA,14,PITSun 1:00 PM,D/ST13,0,33%,NA
ARI,0.8,NA,2.3,NA,0.4,0.7,0.1,23.2,NA,NA,NA,311.9,NA,8.82,NA,FleaFlicker,0519,DST,2328,Arizona Cardinals,NA,8,@SFSun 4:25 PM,D/ST17,0,27%,NA
CHI,0.7,NA,2.2,NA,0.5,0.8,0.1,24.8,NA,NA,NA,363,NA,8.78,NA,FleaFlicker,0521,DST,2333,Chicago Bears,NA,5,DALSun 4:25 PM,D/ST19,0,25%,NA
HOU,0.8,NA,2.1,NA,0.5,0.7,0.1,21.8,NA,NA,NA,340.2,NA,8.64,NA,FleaFlicker,0532,DST,2340,Houston Texans,NA,6,@JACSun 1:00 PM,D/ST6,0,85%,NA
NO,0.7,NA,2.5,NA,0.4,0.5,0.1,23,NA,NA,NA,341,NA,8.6,NA,FleaFlicker,0529,DST,2347,New Orleans Saints,NA,11,@SEASun 4:05 PM,NA,0,9%,NA
BAL,0.7,NA,2.1,NA,0.5,0.8,0.1,23.9,NA,NA,NA,397.7,NA,8.55,NA,FleaFlicker,0531,DST,2330,Baltimore Ravens,NA,7,DETMon 8:15 PM,D/ST3,0,95%,NA
LAC,0.8,NA,1.9,NA,0.5,0.7,0.1,21.7,NA,NA,NA,331.2,NA,8.3,NA,FleaFlicker,0514,DST,2353,Los Angeles Chargers,NA,12,DENSun 4:05 PM,D/ST15,0,52%,NA
TEN,0.6,NA,2.3,NA,0.5,0.6,0.1,23.2,NA,NA,NA,331.9,NA,8.29,NA,FleaFlicker,0508,DST,2358,Tennessee Titans,NA,10,INDSun 1:00 PM,NA,0,5%,NA
DET,0.6,NA,2.1,NA,0.4,0.7,0.1,26.4,NA,NA,NA,403.6,NA,8.02,NA,FleaFlicker,0522,DST,2338,Detroit Lions,NA,8,@BALMon 8:15 PM,D/ST8,0,67%,NA
MIA,0.6,NA,2,NA,0.4,0.7,0.1,30.3,NA,NA,NA,379.3,NA,7.64,NA,FleaFlicker,0503,DST,2344,Miami Dolphins,NA,12,@BUFThu 8:15 PM,D/ST23,0,10%,NA
CLE,0.6,NA,1.8,NA,0.5,0.7,0.1,24.4,NA,NA,NA,347.3,NA,7.43,NA,FleaFlicker,0507,DST,2335,Cleveland Browns,NA,9,GBSun 1:00 PM,NA,0,16%,NA
CAR,0.7,NA,1.8,NA,0.4,0.5,0.1,23.5,NA,NA,NA,361,NA,6.96,NA,FleaFlicker,0527,DST,2332,Carolina Panthers,NA,14,ATLSun 1:00 PM,NA,0,3%,NA
Green Bay Packers,0.84,NA,3.02,NA,0.64,NA,0.19,19.25,NA,NA,NA,NA,NA,7.12,NA,NFL,0523,DST,100011,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks,0.93,NA,3.02,NA,0.65,NA,0.14,19.25,NA,NA,NA,NA,NA,7.02,NA,NFL,0515,DST,100030,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills,0.79,0.06,2.75,NA,0.61,NA,0.18,18.75,NA,NA,NA,NA,NA,6.75,NA,NFL,0501,DST,100003,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Colts,0.84,NA,2.8,NA,0.56,NA,0.14,22.75,NA,NA,NA,NA,NA,6.44,NA,NFL,0502,DST,100014,NA,NA,NA,NA,NA,NA,NA,NA
