player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
David Sills,WR,ATL,1,3.2,1.6,19.7,19.7,12.3,0.2,0.1,0.2,2,0,0,2.2,2.2,2179491,CBS,14110,NA,NA,NA,NA,NA,NA,NA,NA
Tim Patrick,WR,JAC,1,1.5,1,13,13,13,0.2,0,0,0,0,0,2.2,2.2,2818910,CBS,13377,NA,NA,NA,NA,NA,NA,NA,NA
Ben Skowronek,WR,PIT,1,1.5,1,13.9,13.9,13.9,0.2,0,0.1,0,0,0,2.2,2.2,2247046,CBS,15491,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,CHI,1,3.5,2.2,19.2,19.2,8.7,0.2,0.2,1.2,6,0,0,2.2,2.2,2186266,CBS,14592,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,11,7,90,NA,NA,1,0,1,NA,0,NA,NA,NA,4362628,ESPN,15281,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,9,6,75,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4262921,ESPN,14836,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,9,6,81,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4241389,ESPN,14832,NA,NA,NA,NA,NA,NA,NA,NA
Malik Nabers,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4595348,ESPN,16615,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,11,8,103,NA,NA,1,1,3,NA,0,NA,NA,NA,4426515,ESPN,16211,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,11,8,97,NA,NA,1,0,1,NA,0,NA,NA,NA,4374302,ESPN,15287,NA,NA,NA,NA,NA,NA,NA,NA
