player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Gunnar Helm,TE,TEN,NA,2.14,1.4,13.81,NA,NA,0.07,NA,2.48,NA,56361,FanDuel,17105,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,41,209,22,31,Tennessee Titans,1,Arizona Cardinals,ARI,31,Tennessee Titans,TEN,WEEKLY
Tanner Conner,TE,MIA,NA,1.83,1.35,11.81,NA,NA,0.09,NA,2.38,NA,55451,FanDuel,15991,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,42,217,19,17,Miami Dolphins,5,Carolina Panthers,CAR,17,Miami Dolphins,MIA,WEEKLY
Terrance Ferguson,TE,LA,NA,1.64,1.16,11.3,NA,NA,0.08,NA,2.17,NA,56313,FanDuel,17107,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,43,222,13,33,Los Angeles Rams,33,Los Angeles Rams,LA,27,San Francisco 49ers,SF,WEEKLY
Tommy Tremble,TE,CAR,NA,1.91,1.19,10.26,NA,NA,0.08,NA,2.08,NA,54965,FanDuel,15332,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,44,224,31,5,Carolina Panthers,5,Carolina Panthers,CAR,17,Miami Dolphins,MIA,WEEKLY
Luke Farrell,TE,SF,NA,1.9,1.29,10.8,NA,NA,0.05,NA,2.01,NA,54992,FanDuel,15335,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,45,226,5,27,San Francisco 49ers,33,Los Angeles Rams,LA,27,San Francisco 49ers,SF,WEEKLY
Chris Manhertz,TE,NYG,NA,1.45,0.99,10.38,NA,NA,0.06,NA,1.87,NA,53390,FanDuel,12955,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,46,231,26,21,New York Giants,20,New Orleans Saints,NO,21,New York Giants,NYG,WEEKLY
Brevyn Spann-Ford,TE,DAL,NA,1.29,0.94,8.68,NA,NA,0.07,NA,1.74,NA,56075,FanDuel,16647,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,47,234,27,9,Dallas Cowboys,22,New York Jets,NYJ,9,Dallas Cowboys,DAL,WEEKLY
Eric Saubert,TE,SEA,NA,1.22,0.83,8.52,NA,NA,0.06,NA,1.61,NA,53528,FanDuel,13315,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,48,238,9,28,Seattle Seahawks,28,Seattle Seahawks,SEA,30,Tampa Bay Buccaneers,TB,WEEKLY
Tyler Conklin,TE,LAC,NA,1.37,0.91,8.78,NA,NA,0.05,NA,1.61,NA,53898,FanDuel,13675,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,48,238,24,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,32,Washington Commanders,WSH,WEEKLY
Hunter Long,TE,JAC,NA,1.32,0.87,7.97,NA,NA,0.06,NA,1.57,NA,55093,FanDuel,15334,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,50,240,17,15,Jacksonville Jaguars,15,Jacksonville Jaguars,JAC,16,Kansas City Chiefs,KC,WEEKLY
