player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Luther Burden III,WR,CHI,NA,4.72,2.77,34.47,NA,NA,0.17,0.26,1.24,NA,0.01,NA,6.02,NA,56269,FanDuel,17070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,69,163,25,6,Chicago Bears,11,Detroit Lions,DET,6,Chicago Bears,CHI,WEEKLY
Jalen Nailor,WR,MIN,NA,4.75,2.87,32.02,NA,NA,0.23,0,0,NA,0,NA,5.98,NA,55424,FanDuel,15786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,70,165,20,18,Minnesota Vikings,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
Hunter Renfrow,WR,CAR,NA,4.76,3.15,35.02,NA,NA,0.17,0,0,NA,0,NA,5.96,NA,54152,FanDuel,14123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,71,167,14,5,Carolina Panthers,1,Arizona Cardinals,ARI,5,Carolina Panthers,CAR,WEEKLY
Tyquan Thornton,WR,KC,NA,4.55,2.64,31.45,NA,NA,0.21,0,0,NA,0,NA,5.71,NA,55438,FanDuel,15787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,72,169,19,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,24,Philadelphia Eagles,PHI,WEEKLY
Michael Wilson,WR,ARI,NA,4.16,2.56,30.55,NA,NA,0.18,0.29,1.55,NA,0.02,NA,5.67,NA,55649,FanDuel,16206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,73,170,21,1,Arizona Cardinals,1,Arizona Cardinals,ARI,5,Carolina Panthers,CAR,WEEKLY
Dont'e Thornton Jr.,WR,LV,NA,4.27,2.65,30.63,NA,NA,0.21,0,0,NA,0,NA,5.63,NA,56295,FanDuel,17087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,74,171,18,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
Ray-Ray McCloud,WR,ATL,NA,4.56,2.93,33.79,NA,NA,0.14,0.28,1.49,NA,0.01,NA,5.61,NA,53961,FanDuel,13641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,75,172,11,2,Atlanta Falcons,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
Jalen Tolbert,WR,DAL,NA,4.19,2.59,30.58,NA,NA,0.21,0,0,NA,0,NA,5.59,NA,55243,FanDuel,15788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,76,174,30,9,Dallas Cowboys,9,Dallas Cowboys,DAL,21,New York Giants,NYG,WEEKLY
Alec Pierce,WR,IND,NA,4.04,2.18,31.23,NA,NA,0.16,0,0,NA,0,NA,5.17,NA,55253,FanDuel,15768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,77,181,1,14,Indianapolis Colts,14,Indianapolis Colts,IND,10,Denver Broncos,DEN,WEEKLY
DeAndre Hopkins,WR,BAL,NA,3.26,1.97,25.16,NA,NA,0.26,0,0,NA,0,NA,5.04,NA,52070,FanDuel,11232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,78,184,8,3,Baltimore Ravens,3,Baltimore Ravens,BAL,8,Cleveland Browns,CLE,WEEKLY
