team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,curr_site_pts,draft_rank,idp_solo,pct_owned,return_tds,pos_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type,fumblesRecovered,opponentOffensiveRank
NA,0.9,0,2.9,NA,0.5,0.8,0.2,22.1,NA,NA,NA,340.1,NA,6.8,NA,FantasyPros,0532,DST,8120,Houston Texans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.1,NA,0.6,1,0.2,20.9,NA,NA,NA,317.1,NA,6.8,NA,FantasyPros,0511,DST,8090,Denver Broncos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,3.1,NA,0.6,0.9,0.2,21.5,NA,NA,NA,325.1,NA,6.7,NA,FantasyPros,0525,DST,8290,Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.1,NA,0.6,1,0.2,20.8,NA,NA,NA,338,NA,6.7,NA,FantasyPros,0514,DST,8250,Los Angeles Chargers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.1,NA,0.7,1.1,0.2,22.4,NA,NA,NA,333.7,NA,6.7,NA,FantasyPros,0523,DST,8110,Green Bay Packers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,3,NA,0.7,1.2,0.2,25.8,NA,NA,NA,352.4,NA,6.6,NA,FantasyPros,0517,DST,8200,New York Giants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.9,NA,0.5,0.8,0.1,25,NA,NA,NA,366.9,NA,6.5,NA,FantasyPros,0526,DST,8010,Atlanta Falcons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.9,NA,0.6,0.8,0.2,20.2,NA,NA,NA,327.1,NA,6.4,NA,FantasyPros,0522,DST,8100,Detroit Lions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.8,NA,0.6,0.9,0.2,21.6,NA,NA,NA,331.7,NA,6.3,NA,FantasyPros,0503,DST,8160,Miami Dolphins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.3,NA,0.7,1.2,0.2,22.8,NA,NA,NA,324.6,NA,6.2,NA,FantasyPros,0518,DST,8230,Philadelphia Eagles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.9,NA,0.6,0.9,0.1,23.1,NA,NA,NA,335.9,NA,6.1,NA,FantasyPros,0512,DST,8150,Kansas City Chiefs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
