team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
NE,0.56,NA,1.86,NA,0.61,NA,0.15,22.5,NA,NA,NA,334.78,NA,5.88,NA,NumberFire,0504,new-england-dst,D,New England D/ST,NA,NA,NA,NA,LAC,NA,NA,NA,NA,NA,0.12,11.64,#10,19,5.87,3900,1.51,5.87,5.87,NA
ARI,0.64,NA,2.44,NA,0.4,NA,0.15,23.75,NA,NA,NA,317.47,NA,5.85,NA,NumberFire,0519,arizona-dst,D,Arizona D/ST,NA,NA,NA,NA,PIT,NA,NA,NA,NA,NA,0.09,11.61,#24,20,5.83,3100,1.88,5.83,5.83,NA
CIN,0.68,NA,2.25,NA,0.51,NA,0.15,24.25,NA,NA,NA,359.93,NA,5.81,NA,NumberFire,0506,cincinnati-dst,D,Cincinnati D/ST,NA,NA,NA,NA,JAC,NA,NA,NA,NA,NA,0.06,11.56,#17,21,5.74,3900,1.47,5.74,5.74,NA
DEN,0.72,NA,2.31,NA,0.42,NA,0.15,25.25,NA,NA,NA,384.56,NA,5.55,NA,NumberFire,0511,denver-dst,D,Denver D/ST,NA,NA,NA,NA,HOU,NA,NA,NA,NA,NA,-0.15,11.25,#9,22,5.57,4000,1.39,5.57,5.57,NA
GB,0.61,NA,2.31,NA,0.41,NA,0.14,24.25,NA,NA,NA,350.76,NA,5.55,NA,NumberFire,0523,green-bay-dst,D,Green Bay D/ST,NA,NA,NA,NA,KC,NA,NA,NA,NA,NA,-0.15,11.25,#7,22,5.48,3300,1.66,5.48,5.48,NA
SEA,0.69,NA,2.71,NA,0.58,NA,0.12,28.5,NA,NA,NA,365.8,NA,5.34,NA,NumberFire,0515,seattle-dst,D,Seattle D/ST,NA,NA,NA,NA,DAL,NA,NA,NA,NA,NA,-0.32,11,#2,24,5.3,3200,1.66,5.3,5.3,NA
NO,0.67,NA,2.13,NA,0.51,NA,0.13,25.75,NA,NA,NA,357.22,NA,5.3,NA,NumberFire,0529,new-orleans-dst,D,New Orleans D/ST,NA,NA,NA,NA,DET,NA,NA,NA,NA,NA,-0.35,10.95,#5,25,5.24,3600,1.46,5.24,5.24,NA
WSH,0.77,NA,2.37,NA,0.56,NA,0.11,29.5,NA,NA,NA,405.49,NA,4.88,NA,NumberFire,0520,washington-dst,D,Washington D/ST,NA,NA,NA,NA,MIA,NA,NA,NA,NA,NA,-0.68,10.44,#4,26,4.79,3000,1.6,4.79,4.79,NA
Tampa Bay Buccaneers,0.97,0.07,3.05,NA,0.58,NA,0.17,19.99,NA,NA,NA,NA,NA,7.49,NA,NFL,0525,100031,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Kansas City Chiefs,1.07,0.02,2.59,NA,0.61,NA,0.16,21.44,NA,NA,NA,NA,NA,7.13,NA,NFL,0512,100016,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
New York Jets,0.93,0.05,2.75,NA,0.64,NA,0.16,21.13,NA,NA,NA,NA,NA,7.13,NA,NFL,0505,100024,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Atlanta Falcons,0.85,0.04,2.9,NA,0.68,NA,0.15,20.85,NA,NA,NA,NA,NA,7.12,NA,NFL,0526,100001,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Dallas Cowboys,1.02,0.06,2.7,NA,0.55,NA,0.15,16.92,NA,NA,NA,NA,NA,7.1,NA,NFL,0516,100008,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Pittsburgh Steelers,0.94,0.04,2.6,NA,0.64,NA,0.15,17.31,NA,NA,NA,NA,NA,6.98,NA,NFL,0510,100027,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Houston Texans,0.83,0.06,2.62,NA,0.71,NA,0.15,19.21,NA,NA,NA,NA,NA,6.96,NA,NFL,0532,100013,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
