player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
Nick Folk,TEN,1.88,2.29,1.74,8.14,nick-folk,NumberFire,K,8851,NO,NA,0.08,0.49,0.74,0.46,0.13,NA,NA,NA,NA,NA,NA,4.25,12.03,#8,24,8.16,8.16,8.16,NA,NA
Brandon Aubrey,DAL,1.6,1.87,2.58,8.13,brandon-aubrey,NumberFire,K,16414,NYG,NA,0.06,0.45,0.59,0.29,0.22,NA,NA,NA,NA,NA,NA,3.91,12.35,#28,25,8.14,8.14,8.14,NA,NA
Riley Patterson,DET,1.6,1.92,2.51,8.08,riley-patterson,NumberFire,K,15369,KC,NA,0.06,0.49,0.53,0.45,0.1,NA,NA,NA,NA,NA,NA,4.27,11.89,#12,26,8.05,8.05,8.05,NA,NA
Ka'imi Fairbairn,HOU,1.73,1.81,1.47,7.87,ka-imi-fairbairn,NumberFire,K,12860,BAL,NA,0,0.54,0.59,0.44,0.25,NA,NA,NA,NA,NA,NA,3.44,12.3,#7,27,7.87,7.87,7.87,NA,NA
Zane Gonzalez,SF,1.57,1.86,2.11,7.77,zane-gonzalez,NumberFire,K,13347,PIT,NA,0.04,0.54,0.33,0.55,0.15,NA,NA,NA,NA,NA,NA,4.09,11.45,#20,28,7.79,7.79,7.79,NA,NA
Matt Prater,ARI,1.59,1.7,1.43,7.64,matt-prater,NumberFire,K,8930,WSH,NA,0.02,0.59,0.46,0.52,0.19,NA,NA,NA,NA,NA,NA,3.73,11.55,#5,29,7.67,7.67,7.67,NA,NA
Anders Carlson,GB,1.53,1.88,2.17,7.54,anders-carlson,NumberFire,K,16339,CHI,NA,0.02,0.5,0.52,0.35,0.17,NA,NA,NA,NA,NA,NA,3.66,11.42,#27,30,7.54,7.54,7.54,NA,NA
Chad Ryland,NE,1.57,1.95,1.72,7.34,chad-ryland,NumberFire,K,16292,PHI,NA,0.02,0.46,0.61,0.44,0.12,NA,NA,NA,NA,NA,NA,3.43,11.25,#10,31,7.35,7.35,7.35,NA,NA
Chris Boswell,PIT,1.61,2.08,1.83,7.32,chris-boswell,NumberFire,K,11936,SF,NA,0.04,0.53,0.37,0.57,0.08,NA,NA,NA,NA,NA,NA,3.19,11.45,#1,32,7.33,7.33,7.33,NA,NA
Justin Tucker,BAL,NA,NA,3.08,7.7,2536340,NFL,K,10976,NA,NA,NA,0.48,0.55,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
