player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Cameron Dicker,K,LAC,NA,2.02,2.41,NA,0.58,NA,0.67,NA,0.58,NA,0.19,NA,2.53,NA,9.59,NA,cameron-dicker,NumberFire,15979,LA,0.02,NA,NA,NA,NA,NA,NA,4.61,14.57,#13,2,9.61,9.61,9.61
Younghoe Koo,K,ATL,NA,1.96,2.12,NA,0.66,NA,0.45,NA,0.7,NA,0.12,NA,2.61,NA,9.41,NA,younghoe-koo,NumberFire,13403,ARI,0.04,NA,NA,NA,NA,NA,NA,4.62,14.2,#23,3,9.46,9.46,9.46
Mike Badgley,K,DET,NA,1.68,2.01,NA,0.41,NA,0.63,NA,0.45,NA,0.19,NA,3.49,NA,9.39,NA,mike-badgley,NumberFire,13980,CHI,0,NA,NA,NA,NA,NA,NA,5.38,13.4,#29,4,9.36,9.36,9.36
Cairo Santos,K,CHI,NA,1.74,1.9,NA,0.44,NA,0.61,NA,0.51,NA,0.18,NA,2.99,NA,9.06,NA,cairo-santos,NumberFire,11945,DET,0,NA,NA,NA,NA,NA,NA,4.91,13.21,#32,5,9.08,9.08,9.08
Graham Gano,K,NYG,NA,1.98,2.06,NA,0.67,NA,0.61,NA,0.5,NA,0.2,NA,2.17,NA,9.01,NA,graham-gano,NumberFire,9694,IND,0,NA,NA,NA,NA,NA,NA,4.35,13.67,#14,6,9.01,9.01,9.01
Tyler Bass,K,BUF,NA,1.67,1.94,NA,0.49,NA,0.39,NA,0.56,NA,0.22,NA,2.91,NA,8.94,NA,tyler-bass,NumberFire,14983,CIN,0.02,NA,NA,NA,NA,NA,NA,4.69,13.19,#10,7,8.95,8.95,8.95
Jason Myers,K,SEA,NA,1.99,2.27,NA,0.52,NA,0.72,NA,0.6,NA,0.12,NA,2.03,NA,8.84,NA,jason-myers,NumberFire,12437,NYJ,0.02,NA,NA,NA,NA,NA,NA,4.07,13.61,#3,8,8.81,8.81,8.81
Greg Zuerlein,K,NYJ,NA,1.75,2.12,NA,0.57,NA,0.62,NA,0.46,NA,0.11,NA,2.84,NA,8.8,NA,greg-zuerlein,NumberFire,10868,SEA,0,NA,NA,NA,NA,NA,NA,4.42,13.18,#28,9,8.8,8.8,8.8
Mason Crosby,K,GB,NA,1.83,2.18,NA,0.37,NA,0.59,NA,0.66,NA,0.18,NA,2.27,NA,8.77,NA,mason-crosby,NumberFire,8742,MIN,0.02,NA,NA,NA,NA,NA,NA,3.48,14.06,#20,10,8.75,8.75,8.75
Harrison Butker,K,KC,NA,1.67,2.42,NA,0.5,NA,0.52,NA,0.55,NA,0.05,NA,3.09,NA,8.7,NA,harrison-butker,NumberFire,13354,DEN,0.05,NA,NA,NA,NA,NA,NA,4.31,13.09,#8,11,8.75,8.75,8.75
Riley Patterson,K,JAC,NA,1.62,1.96,NA,0.52,NA,0.47,NA,0.58,NA,0.02,NA,3.05,NA,8.57,NA,riley-patterson,NumberFire,15369,HOU,0.04,NA,NA,NA,NA,NA,NA,4.67,12.47,#26,12,8.56,8.56,8.56
Justin Tucker,K,BAL,NA,1.67,2.17,NA,0.59,NA,0.43,NA,0.47,NA,0.17,NA,2.57,NA,8.38,NA,justin-tucker,NumberFire,10976,PIT,0,NA,NA,NA,NA,NA,NA,4.22,12.54,#12,13,8.36,8.36,8.36
Ryan Succop,K,TB,NA,1.89,2.22,NA,0.68,NA,0.53,NA,0.46,NA,0.21,NA,1.79,NA,8.33,NA,ryan-succop,NumberFire,9686,CAR,0,NA,NA,NA,NA,NA,NA,3.08,13.58,#18,14,8.31,8.31,8.31
Joey Slye,K,WSH,NA,1.67,2.03,NA,0.45,NA,0.55,NA,0.5,NA,0.14,NA,2.55,NA,8.31,NA,joey-slye,NumberFire,14600,CLE,0.02,NA,NA,NA,NA,NA,NA,3.58,13.04,#22,15,8.31,8.31,8.31
