player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
"Bullock, Randy",K,TEN,NA,1.5,1.8,0,NA,0.5,NA,0.5,NA,0.6,NA,0,NA,2.7,2.7,7.2,NA,NA,FantasySharks,10862,@KCC,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.3,1.5,0,NA,0.4,NA,0.5,NA,0.4,NA,0.2,NA,2.8,2.9,7.1,NA,NA,FantasySharks,13303,@HOU,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",K,LAC,NA,1.6,1.8,0,NA,0.5,NA,0.6,NA,0.4,NA,0.1,NA,2.3,2.5,7.1,NA,NA,FantasySharks,11387,@ATL,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,LAR,NA,1.6,1.8,0,NA,0.6,NA,0.5,NA,0.3,NA,0.2,NA,2.1,2.1,7,NA,NA,FantasySharks,14244,@TBB,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",K,ARI,NA,1.5,1.7,0,NA,0.5,NA,0.5,NA,0.3,NA,0.3,NA,1.8,2,6.6,NA,NA,FantasySharks,8930,SEA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,NOS,NA,1.4,1.9,0,NA,0.2,NA,0.6,NA,0.3,NA,0.2,NA,2.6,2.7,6,NA,NA,FantasySharks,12956,BAL,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",K,MIN,NA,1.5,2,0,NA,0.5,NA,0.4,NA,0.3,NA,0.2,NA,2.3,2.6,5.9,NA,NA,FantasySharks,13898,@WAS,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.4,1.8,0,NA,0.3,NA,0.2,NA,0.7,NA,0.1,NA,2,2.1,5.9,NA,NA,FantasySharks,13832,@CHI,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,1.4,1.7,0,NA,0.3,NA,0.3,NA,0.4,NA,0.3,NA,1.4,1.5,5.6,NA,NA,FantasySharks,12860,PHI,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zuerlein, Greg",K,NYJ,NA,1.4,1.9,0,NA,0.3,NA,0.6,NA,0.4,NA,0.2,NA,1.8,2,5.6,NA,NA,FantasySharks,10868,BUF,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby, Mason",K,GBP,NA,1.2,1.5,0,NA,0.4,NA,0.4,NA,0.3,NA,0.1,NA,2.6,2.6,5.5,NA,NA,FantasySharks,8742,@DET,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,WAS,NA,1.4,1.7,0.1,NA,0.5,NA,0.3,NA,0.2,NA,0.2,NA,1.3,1.5,5.2,NA,NA,FantasySharks,14600,MIN,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Riley",K,JAC,NA,1.1,1.2,0,NA,0.5,NA,0.2,NA,0.3,NA,0.1,NA,1.4,1.6,4.6,NA,NA,FantasySharks,15369,LVR,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blankenship, Rodrigo",K,ARI,NA,0.3,0.3,0,NA,0.1,NA,0,NA,0.1,NA,0.1,NA,0.3,0.3,1,NA,NA,FantasySharks,14912,SEA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,12.17,NA,4780,FleaFlicker,8851,INDSun 1:00 PM,NA,0,K9,2/2,2/2,72%,NA,NA,NA,NA,NA,NA,NA
